step,velocity_consensus_error,min_agent_distance,mean_goal_distance,min_obstacle_clearance,connected_components,lambda_2
0,0.2623321698678489,0.06616243773916902,15.10399404972035,4.112735467972413,1.0,1.4289316503368794
1,0.26341701526807426,0.06621042103926142,15.097036574492508,4.106570810130141,1.0,1.4289316503368794
2,0.26652160652723683,0.06690382239806657,15.086880948581916,4.097212986299697,1.0,1.4289316503368794
3,0.2736198313033537,0.0682232065701848,15.07352713897769,4.0846619843669565,1.0,1.4289316503368794
4,0.2829160855548484,0.07013349275186413,15.056975114509651,4.068917818514411,1.0,1.4289316503368794
5,0.293990149210909,0.0725882792871573,15.037224845803516,4.049980529662307,1.0,1.4317124736398057
6,0.30696718340519,0.07553472801583187,15.01427630524328,4.027850186177785,1.0,1.4317124736398057
7,0.3217682779628797,0.07891801262697597,14.988129466940727,4.002526884867882,1.0,1.4381881328963686
8,0.33816178201131925,0.0826847447081445,14.95878430671235,3.974010752277894,1.0,1.4381881328963686
9,0.3559231010115143,0.08678522103736926,14.92624080206392,3.9423019463230116,1.0,1.4296677866331742
10,0.37478812679246354,0.09117462728229504,14.890498932183132,3.9074006582884238,1.0,1.4270935949064238
11,0.39447396266167195,0.09581345953273623,14.851558677940796,3.8693071152415905,1.0,1.4270935949064238
12,0.4147643512549935,0.1006674333186982,14.809421076416069,3.8280487611521314,1.0,1.4539999509287194
13,0.4354749052347345,0.10570710026069009,14.764093716870772,3.7837150525420746,1.0,1.5225184474344406
14,0.45649126501705756,0.1109073284274356,14.715590268683405,3.7363943222532034,1.0,1.5468905569445512
15,0.47769294167186616,0.11624674571465106,14.66393031060844,3.6861737800324166,1.0,1.5468905569445512
16,0.49404547437444685,0.12170720318778236,14.609291644009973,3.6331395138808045,1.0,1.5468905569445512
17,0.49716587120428885,0.12535486639641738,14.552189398652422,3.577376492181677,1.0,1.6444688770418068
18,0.495369983862888,0.1262869467008694,14.493267653363683,3.5189685666313633,1.0,1.6444688770418068
19,0.49189995939232933,0.12620812248707794,14.433560449357667,3.459070744861112,1.0,1.6444688770418068
20,0.48843092987154224,0.1261257361611162,14.37367016882684,3.39917781530139,1.0,1.686009891390845
21,0.4867156028830966,0.12604015409380892,14.313720688723588,3.3392898712061054,1.0,1.686009891390845
22,0.4851167708406062,0.12595170754789953,14.253764863201402,3.2794070164646563,1.0,1.686009891390845
23,0.4836396178003344,0.1258606962438877,14.193803501436056,3.219529366306779,1.0,1.72821656839028
24,0.48227320111818656,0.12576739153963695,14.133837308194371,3.159657048029942,1.0,1.72821656839028
25,0.4810078680898091,0.12567203926843293,14.073866897435494,3.0997902017608254,1.0,1.72821656839028
26,0.4798348596657236,0.1255748622747089,14.013892804190261,3.039928981262279,1.0,1.72821656839028
27,0.47874573884550947,0.12547606268187514,13.953915495011845,2.9800735547970563,1.0,1.72821656839028
28,0.4777337455017561,0.12537582392249164,13.893935376521123,2.9202241060598944,1.0,1.72821656839028
29,0.47679274977370384,0.12527431255742563,13.833952803193856,2.8603808351899414,1.0,1.7895765701940491
30,0.4759176900526962,0.12517167990740474,13.773968084476461,2.800543959876191,1.0,1.7895765701940491
31,0.47510453813082437,0.12506806351763738,13.713981490911703,2.740713716569527,1.0,1.8234941342515376
32,0.4743480267021501,0.12496358847371583,13.653993258317147,2.6808903618161217,1.0,1.8581379013509784
33,0.47364371035271724,0.12485836858490373,13.594003592279366,2.621074173728436,1.0,1.8986627833130838
34,0.4729874967201801,0.12475250744903653,13.534012672062124,2.561265453611777,1.0,1.8986627833130838
35,0.47237561534276223,0.12464609941164588,13.474020654034858,2.5014645277665544,1.0,1.8986627833130838
36,0.47180461479045616,0.12453923043045714,13.414027674649512,2.44167174948885,1.0,1.9529814397080962
37,0.4712713336348051,0.12443197885517969,13.354033853023983,2.3818875012949423,1.0,1.9529814397080962
38,0.47077287462222644,0.124324416131383,13.294039293184943,2.322112197398929,1.0,1.9529814397080962
39,0.4703065815338504,0.12421660743628342,13.23404408601564,2.2623462864767463,1.0,1.9790263390488918
40,0.46986989793949885,0.12410861225339936,13.174048310964345,2.2025902547548197,1.0,2.0024586133474105
41,0.4694604835630031,0.12400048489228441,13.114052037508735,2.1428446294673114,1.0,2.042749935241174
42,0.46907633696082374,0.123892274958868,13.054055326413257,2.083109982732786,1.0,2.042749935241174
43,0.46871561811634244,0.1237840277813474,12.994058230844239,2.0233869359091887,1.0,2.0754039229189742
44,0.4683766349774061,0.1236757847960415,12.93406079733971,1.9636761644956229,1.0,2.105712186721634
45,0.4680578311214956,0.12356758389716536,12.874063066653234,1.903978403660771,1.0,2.105712186721634
46,0.4677577744451667,0.12345945975404765,12.814065074488378,1.844294454491442,1.0,2.105712186721634
47,0.46747489406310017,0.12335144409897707,12.754066852175589,1.7846251910709507,1.0,2.1176495471713057
48,0.4672077166192938,0.12324356598851202,12.694068427228688,1.7249715685165512,1.0,2.1590973452532802
49,0.46695514212284667,0.12313585204080955,12.63406982379308,1.6653346321286633,1.0,2.163714126460525
50,0.46671644834735365,0.1230283266512624,12.57407106306036,1.6057155278330337,1.0,2.25048176364475
51,0.46649049751691224,0.1229210121885197,12.514072163640208,1.5461155141314582,1.0,2.25048176364475
52,0.46627643284483605,0.12281392917273175,12.454073141859384,1.4865359758187258,1.0,2.2594452578915263
53,0.4660733116621085,0.12270709643770318,12.394074012062019,1.4269784397748801,1.0,2.2971132265866183
54,0.4658803632573613,0.1226005312784585,12.334074786848905,1.367444593205116,1.0,2.2971132265866183
55,0.4656969959566758,0.12249424958557527,12.274075477283032,1.3079363047777322,1.0,2.364845958999182
56,0.46552270562936343,0.12238826596751644,12.21407609308346,1.2484556492074725,1.0,2.364845958999182
57,0.4653570156656123,0.12228259386207166,12.154076642795275,1.1890049359525068,1.0,2.364845958999182
58,0.4651994749537735,0.12217724563789839,12.094077133937308,1.1295867428449045,1.0,2.3848412122539537
59,0.46504965656560615,0.12207223268708407,12.034077573130562,1.070203955665694,1.0,2.443052488003328
60,0.46490715649919395,0.1219675655095316,11.974077966209995,1.0108598149181445,1.0,2.443052488003328
61,0.4647715924784949,0.12186325378992349,11.914078318321858,0.9515579713624723,1.0,2.478703613656678
62,0.4646426028082141,0.12175930646792998,11.854078634008507,0.8923025522728646,1.0,2.478703613656678
63,0.464519845282491,0.12165573180226863,11.794078917282418,0.8330982408919244,1.0,2.5458337413045764
64,0.46440299614576314,0.12155253742916917,11.734079171690718,0.7739503722274409,1.0,2.711342502186161
65,0.4642917491040907,0.1214497304157447,11.674079400371602,0.7148650492151815,1.0,2.7937001510785544
66,0.46418581438517165,0.12134731730872325,11.614079606103632,0.6558492844335874,1.0,2.912157027099214
67,0.464084917845264,0.12124530417895298,11.55407979134882,0.5969111741058409,1.0,2.912157027099214
68,0.4639888001212189,0.12114369666204959,11.494079958290396,0.5380601132088402,1.0,2.9427486078814917
69,0.46389721582583954,0.12104249999553482,11.434080108865851,0.47930706333720685,1.0,2.9427486078814917
70,0.46380993278479365,0.12094171905276939,11.374080244795907,0.4206648888462493,1.0,3.185410545045572
71,0.4637267313133284,0.12084135837396619,11.314080367609948,0.362148782162235,1.0,3.276276267523009
72,0.463647403531073,0.12074142219453667,11.254080478668325,0.30377680665136764,1.0,3.276276267523009
73,0.46357175271323187,0.12064191447099877,11.194080579181954,0.2455705960490654,1.0,3.276276267523009
74,0.4634995926765203,0.12054283890467196,11.134080670229556,0.1875562646272061,1.0,3.276276267523009
75,0.4634307471982246,0.12044419896333959,11.074080752772806,0.1297656042408023,1.0,3.296830668332718
76,0.46336504946681356,0.12034599790105649,11.014080827669684,0.07223767656669533,1.0,3.296830668332718
77,0.46330234156257444,0.1202482387762692,10.954080895686234,0.01502095653896418,1.0,3.300259954630907
78,0.4632424739667852,0.12015092446838796,10.894080957506908,-0.04182374548335366,1.0,3.3495346407064392
79,0.4631853050979954,0.12005405769294393,10.834081013743742,-0.09821924684110528,1.0,3.3495346407064392
80,0.46313070087402225,0.1199576410154612,10.774081064944394,-0.1540663391917293,1.0,3.3495346407064392
81,0.4630785342983345,0.11986167686413848,10.71408111159931,-0.20923576201291183,1.0,3.3495346407064392
82,0.46302868506953926,0.11976616754145968,10.654081154148002,-0.2635566558145046,1.0,3.3495346407064392
83,0.46298103921273803,0.11967111523481135,10.594081192984643,-0.3167997589528698,1.0,3.350396142719707
84,0.4629354887315785,0.1195765220262006,10.534081228462972,-0.3686527635535094,1.0,3.350396142719707
85,0.4628919312798726,0.11948238990114914,10.474081260900732,-0.418684159816176,1.0,3.4636732661454106
86,0.4628502698517068,0.11938872075682135,10.41408129058348,-0.4662909566516403,1.0,3.53355555843879
87,0.4628104124890202,0.11929551640947132,10.35408131776808,-0.5106264232783109,1.0,3.571487372077207
88,0.46277227200567633,0.11920277860124652,10.29408134268572,-0.5505111129311665,1.0,3.593684395168572
89,0.46273576572710257,0.11911050900642926,10.23408136554465,-0.5843546331368048,1.0,3.593684395168572
90,0.4627008152446185,0.11901870923712259,10.174081386532585,-0.6101709673568692,1.0,3.756606849288593
