step,mean_goal_distance,active_mean_goal_distance,center_of_mass_goal_distance,velocity_consensus_error,normalized_velocity_mismatch,mean_speed,max_speed,speed_std,min_agent_distance,cohesion_radius,min_obstacle_clearance,collision_count,total_collision_steps,total_collision_count,active_dynamic_risk_count,min_predicted_obstacle_clearance,control_effort,lattice_deviation_energy,average_flocking_error,formation_recovery_step,formation_recovery_time,mean_neighbor_count,connected_components,lambda_2,relative_connectivity
25,14.888698075160272,14.888698075160272,14.625003835194509,0.9987427641914305,0.9180926935431688,1.0456172132167432,1.6091978505730322,0.4032501528517039,0.6687737597004481,4.557662548428341,4.4769780999334765,0.0,0.0,0.0,4.0,2.3444192147325924,5.941799633652459,0.7732383231539565,0.8948108865594726,-1.0,-1.0,8.0,1.0,0.8421563561585171,1.0
26,14.884163493865941,14.884163493865941,14.621688534703564,1.0115874350386156,0.9149649003674962,1.0600769677708872,1.6279637453246618,0.41131598563379923,0.6614182386996926,4.542154559884191,4.485758641828624,0.0,0.0,0.0,5.0,2.2656738319058234,5.6987545269739295,0.757360277993951,1.0163296096756849,-1.0,-1.0,8.0,1.0,0.8421563561585171,1.0
27,14.879494066683904,14.879494066683904,14.618266026425829,1.0236087504923226,0.9118005567268926,1.0735860919819826,1.6447473142691917,0.41936395685838407,0.6541840663159584,4.526233645969312,4.494454577337807,0.0,0.0,0.0,5.0,2.1929494456154726,5.489613821459583,0.7724138813929917,1.1395872240481038,-1.0,-1.0,8.1,1.0,0.8437226794350488,1.0
28,14.874691966289365,14.874691966289365,14.614737584828937,1.0348774028553898,0.9086013719450352,1.086220664354658,1.659643770861219,0.4273631623122775,0.6470799867162877,4.509912335138227,4.503046032824454,0.0,0.0,0.0,5.0,2.1259783722876793,5.3090828150867155,0.7858312936089282,1.2644777936141658,-1.0,-1.0,8.2,1.0,0.8459338118600953,1.0
29,14.869759337114408,14.869759337114408,14.611104468833089,1.045464734711734,0.9053700492486324,1.0981061993254493,1.6727954434486947,0.4351624261594047,0.6401137198969863,4.4932034219959425,4.511514247237956,0.0,0.0,0.0,5.0,2.0644971258253286,5.152495319144334,0.7979505401392203,1.3909010546451652,-1.0,-1.0,8.3,1.0,0.8576128910810277,1.0
30,14.864698296002748,14.864698296002748,14.60736792200621,1.0554450593362374,0.9021110148722826,1.1096105980500455,1.6844281130193128,0.4420221548008984,0.633292020257672,4.4761199660310735,4.519842056290875,0.0,0.0,0.0,5.0,2.008098315607899,5.01505826639818,0.8376568621714017,1.518762991106301,-1.0,-1.0,8.5,1.0,0.9699637867977733,1.0
31,14.859510928532663,14.859510928532663,14.603529172756645,1.0648885300973596,0.8988295417336892,1.1217819797324589,1.7010643603082272,0.4455056459248267,0.6266207321124695,4.4586752876157565,4.528014001256433,0.0,0.0,0.0,5.0,1.956124377307519,4.892507823106349,0.8194612729484141,1.6479759659974724,-1.0,-1.0,8.5,1.0,0.9699637867977733,1.0
32,14.854199285187173,14.854199285187173,14.599589434523393,1.0738584312534296,0.895531328784125,1.134572341743171,1.7348765266077903,0.4458835768140573,0.6201048463517008,4.440882951338243,4.536016185016176,0.0,0.0,0.0,5.0,1.9079303891631798,4.781277580659981,0.8839519092827955,1.7784586895909296,-1.0,-1.0,8.8,1.0,1.0214330229039505,1.0
33,14.8487653820264,14.8487653820264,14.595549905963814,1.0824068478510838,0.8922218719218665,1.1471138576154751,1.7673579401187178,0.4454680042644581,0.6137485501263384,4.422756736953096,4.543836132537868,0.0,0.0,0.0,5.0,1.8629573480475181,4.678081597629522,0.8646521946567958,1.9104500179599122,-1.0,-1.0,8.8,1.0,1.0214330229039505,1.0
34,14.843211195545365,14.843211195545365,14.591411771138892,1.0905800025531611,0.8889074795438401,1.1592025576820182,1.7985209010115546,0.44493359251666376,0.6075552734974415,4.4043103058233575,4.551462674578038,0.0,0.0,0.0,5.0,1.8207157802310427,4.581310242209426,0.8456172687560275,2.0438488276248234,-1.0,-1.0,8.8,1.0,1.0214330229039505,1.0
