step,mean_goal_distance,active_mean_goal_distance,center_of_mass_goal_distance,velocity_consensus_error,normalized_velocity_mismatch,mean_speed,max_speed,speed_std,min_agent_distance,cohesion_radius,min_obstacle_clearance,collision_count,total_collision_steps,total_collision_count,active_dynamic_risk_count,min_predicted_obstacle_clearance,control_effort,lattice_deviation_energy,average_flocking_error,formation_recovery_step,formation_recovery_time,mean_neighbor_count,connected_components,lambda_2,relative_connectivity
21,14.905455894074269,14.905455894074269,14.63718197023632,0.9376802193043158,0.9302552606936614,0.9769612616571155,1.512350729035708,0.3704808471720461,0.6991930865283966,4.61531873722563,3.3952638898078,0.0,0.0,0.0,0.0,3.0365467321750272,7.3863930956825685,0.8371355252305461,1.5537797711836594,-1.0,-1.0,8.0,1.0,0.8137123548837306,1.0
22,14.90148375301932,14.90148375301932,14.63430939461763,0.9545708034691547,0.9272878709680482,0.9958943453358655,1.5400292073331163,0.3788213426981987,0.691462592478192,4.601582167137065,3.404040770534273,0.0,0.0,0.0,0.0,3.0452638898077997,6.938470387465989,0.790670650822454,1.6666127836142564,-1.0,-1.0,7.9,1.0,0.7147106680315736,1.0
23,14.897367752627016,14.897367752627016,14.631324343863668,0.9703327644986615,0.9242782187594374,1.0136030494692296,1.5653287812933854,0.3870401311615722,0.6838069280728778,4.587385187901661,3.4128602592648667,0.0,0.0,0.0,0.0,3.054040770534273,6.553890370315206,0.8052641577476454,1.781662624812072,-1.0,-1.0,8.0,1.0,0.8421563561585171,1.0
24,14.89311019634683,14.89311019634683,14.628228156753154,0.985045105752382,0.9212275246807805,1.0301598687323827,1.588350943712059,0.39517826751944524,0.6762396291354638,4.572739284086443,3.4217058466163293,0.0,0.0,0.0,0.0,3.0628602592648666,6.224169892965915,0.7892012793574306,1.898940631458439,-1.0,-1.0,8.0,1.0,0.8421563561585171,1.0
25,14.888713351752221,14.888713351752221,14.625022155709754,0.9987851074657643,0.9181371733210207,1.0456333851967483,1.6091956365222357,0.40326905188738293,0.6687729154378901,4.5576561950021635,3.4305616306634334,0.0,0.0,0.0,0.0,3.071705846616329,5.941313619247637,0.7732190218755202,2.0180926127019334,-1.0,-1.0,8.0,1.0,0.8421563561585171,1.0
26,14.88417945272258,14.88417945272258,14.621707647007577,1.0116283563076613,0.9150086797390647,1.0600896342809913,1.6279612164770967,0.4113357669021962,0.6614177744309343,4.542147919823454,3.4394123208361975,0.0,0.0,0.0,0.0,3.0805616306634334,5.698391292913704,0.7573408579288949,2.138999673593012,-1.0,-1.0,8.0,1.0,0.8421563561585171,1.0
27,14.879510701554011,14.879510701554011,14.618285920974012,1.0236484112228883,0.9118436658665805,1.073595158625274,1.644744446502885,0.41938526921916686,0.6541840368726615,4.526226721275014,3.44824324330125,0.0,0.0,0.0,0.0,3.0894123208361974,5.489357926359115,0.7723946082701771,2.2615491169778976,-1.0,-1.0,8.1,1.0,0.8437226794350488,1.0
28,14.874709270958448,14.874709270958448,14.614758252189992,1.0349159371850587,0.908643837836095,1.0862258028280543,1.659640540410654,0.4273872256762791,0.6470804456823785,4.509905127762362,3.457040347169107,0.0,0.0,0.0,0.0,3.09824324330125,5.308920065399745,0.7858122242841559,2.385918177929194,-1.0,-1.0,8.2,1.0,0.8459338118600953,1.0
29,14.869777305404877,14.869777305404877,14.611125899687678,1.045502242697157,0.9054118958377796,1.0981065643507952,1.672791828267176,0.4351917358965439,0.6401147191777843,4.493195933845083,3.465790210911039,0.0,0.0,0.0,0.0,3.107040347169107,5.152412707111809,0.7979316851011994,2.5119054972696855,-1.0,-1.0,8.3,1.0,0.8576128910810277,1.0
30,14.864716921774122,14.864716921774122,14.607390107145655,1.0554816022744453,0.9021522628659155,1.1096054217010927,1.684424091199875,0.442059015541994,0.6332936096978318,4.476112198969872,3.474480048424301,0.0,0.0,0.0,0.0,3.115790210911039,5.01504389309755,0.8376374183929621,2.6392749963472637,-1.0,-1.0,8.5,1.0,0.9699637867977733,1.0
31,14.859530205680631,14.859530205680631,14.603552103081654,1.0649241307622614,0.898870208904099,1.1217793270738876,1.7010643149628224,0.44553040671755223,0.6266229591814331,4.4586672434702805,3.4830977142462087,0.0,0.0,0.0,0.0,3.1244800484243007,4.892550774706992,0.8194418551560535,2.7679388098183724,-1.0,-1.0,8.5,1.0,0.9699637867977733,1.0
32,14.854219207642563,14.854219207642563,14.599613101042767,1.0738930797929753,0.8955714303705296,1.134574033903798,1.7348764717732255,0.4458920034789721,0.6201077558822955,4.440874631899066,3.4916317074970467,0.0,0.0,0.0,0.0,3.1330977142462086,4.781367929850989,0.8839332192607237,2.897815530416766,-1.0,-1.0,8.8,1.0,1.0214330229039505,1.0
33,14.848785943755638,14.848785943755638,14.595574299793197,1.0824405126877874,0.8922614211638357,1.1471165149006763,1.7673578743671807,0.44546883503592094,0.6137521840771729,4.422748143978312,3.500071174238654,0.0,0.0,0.0,0.0,3.1416317074970466,4.678210497228452,0.864633577263061,3.028829773795896,-1.0,-1.0,8.8,1.0,1.0214330229039505,1.0
34,14.84323239055102,14.84323239055102,14.591436883499526,1.0906126433247008,0.8889464877739517,1.1592048891972664,1.7985208225279508,0.4449303971846381,0.6075596707609756,4.404301441044083,3.5084059079133,0.0,0.0,0.0,0.0,3.1352844916056397,4.581469757782268,0.8455987440280207,3.1609123538776878,-1.0,-1.0,8.8,1.0,1.0214330229039505,1.0
35,14.837560484785545,14.837560484785545,14.58720202191348,1.0984464805132084,0.8856328684936269,1.1708260814625722,1.8284070613106,0.4444653749069896,0.6015329307875219,4.38554777058363,3.516626347631771,0.0,0.0,0.0,0.0,3.1130671535599794,4.489390073100029,0.8790680651916124,3.2944112270942947,-1.0,-1.0,9.0,1.0,1.031801519811292,1.0
36,14.83177212370764,14.83177212370764,14.58287087055228,1.1059728244114448,0.8823267881265349,1.1820048641336505,1.8570737604995045,0.44415707024491924,0.5956740107528526,4.366499814018112,3.5247235741413174,0.0,0.0,0.0,0.0,3.0928756281476075,4.400071659275963,0.8849387134205817,3.4292814434427212,-1.0,-1.0,9.1,1.0,1.0379372886707852,1.0
37,14.825869160462045,14.825869160462045,14.578444570876494,1.1132218194701398,0.8790353343986511,1.1927796194190559,1.884611838628271,0.44405666228200874,0.5899843318306693,4.347169354320673,3.5326893034238918,0.0,0.0,0.0,0.0,3.0744148055548632,4.312167087721809,0.8904152305949246,3.5651024456653553,-1.0,-1.0,9.2,1.0,1.041336661288595,1.0
38,14.819853405110646,14.819853405110646,14.573924250465517,1.120217014107674,0.8757650792329599,1.2031881179127093,1.9111169056808504,0.4441991487707583,0.5844647316956798,4.327567229782676,3.5405158779435952,0.0,0.0,0.0,0.0,3.057260694720227,4.225309431214828,0.8703790399170102,3.7018269656373732,-1.0,-1.0,9.2,1.0,1.041336661288595,1.0
39,14.813726626027762,14.813726626027762,14.569311023190608,1.1269767478042128,0.8725220187173547,1.2132647320059753,1.9367115768679477,0.4446111668748138,0.5791155056076206,4.307703064683616,3.548196255621777,0.0,0.0,0.0,0.0,3.0410506005919022,4.139141404441305,0.8506478483833375,3.8394124042640767,-1.0,-1.0,9.2,1.0,1.041336661288595,1.0
40,14.80749055474988,14.80749055474988,14.564605989385612,1.1335152801076023,0.8693111195945116,1.223039144473522,1.961508451145956,0.44530936889246625,0.5739364466763919,4.287585369944926,3.5557239966710217,0.0,0.0,0.0,0.0,3.0254841919145323,4.053017649512167,0.8312257375827731,3.977820116130018,-1.0,-1.0,9.2,1.0,1.041336661288595,1.0
41,14.801146890849818,14.801146890849818,14.559810236015355,1.1398432779064869,0.8661362637567137,1.232536256248686,1.9856069843605555,0.4463017193515019,0.5689268852866551,4.267221675032721,3.5630932484601585,0.0,0.0,0.0,0.0,3.0103179233085497,3.966523119457188,0.8121158974859223,4.117014716935825,-1.0,-1.0,9.2,1.0,1.041336661288595,1.0
42,14.794697313068832,14.794697313068832,14.55492484202321,1.1459669312439043,0.8630002821201229,1.241775287732184,2.0090933791669605,0.44758801475682236,0.5640857276279205,4.246618653125454,3.570298728615276,0.0,0.0,0.0,1.0,2.9953591096763383,3.8794443658441167,0.7933208361598914,4.2569632961104045,-1.0,-1.0,9.2,1.0,1.041336661288595,1.0
43,14.788143491569105,14.788143491569105,14.5499508848995,1.151887894179879,0.8599049783243182,1.2507697816801402,2.0320403213260505,0.4491610054830884,0.5594114932529656,4.225782247270434,3.5773357065855276,0.0,0.0,0.0,1.0,2.980518624605559,3.7916883237698733,0.8011607291710233,4.398241214512048,-1.0,-1.0,9.3,1.0,1.0446217132907911,1.0
44,14.781487077061971,14.781487077061971,14.544889429298122,1.1576075590522414,0.8568510555014536,1.2595317562435757,2.0545067752239454,0.45100972021252356,0.5549023515725765,4.204717825420532,3.584199983917749,0.0,0.0,0.0,1.0,2.965808567372313,3.7032228418638526,0.8077695362856613,4.5403580039744496,-1.0,-1.0,9.4,1.0,1.0460639288082432,1.0
45,14.774729698682233,14.774729698682233,14.539741527310975,1.1631292887703288,0.8538395113196622,1.2680744904341772,2.076538788009173,0.4531223014171651,0.5505561571870552,4.183430309863685,3.590887873490777,0.0,0.0,0.0,1.0,2.951126094045034,3.6148928886087597,0.7886579408444301,4.683507405124439,-1.0,-1.0,9.4,1.0,1.0460639288082432,1.0
46,14.76787296307796,14.76787296307796,14.534508218703696,1.1684578839855706,0.8508714882135172,1.2764119508341207,2.098170916238767,0.4554854638060561,0.5463704839538146,4.161924291999967,3.5973961779599053,0.0,0.0,0.0,1.0,2.9364043042266172,3.52726749053718,0.7698747946783612,4.827932892996,-1.0,-1.0,9.4,1.0,1.0460639288082432,1.0
47,14.760918458892911,14.760918458892911,14.529190531116239,1.173594664096535,0.8479470682997733,1.284554223988704,2.1194272573556283,0.4580812689256147,0.5423426576947993,4.140204136499444,3.60372216765463,0.0,0.0,0.0,1.0,2.9216066384837114,3.440272051425766,0.751421166712615,4.97305387376197,-1.0,-1.0,9.4,1.0,1.0460639288082432,1.0
48,14.753867760910705,14.753867760910705,14.523789480232132,1.1785377374974113,0.8450653144699003,1.2925079068124397,2.140321417082634,0.4608876544926,0.5384697874558735,4.11827408585265,3.6098635581562366,0.0,0.0,0.0,1.0,2.906721576413594,3.3538498798996486,0.7332979085426401,5.118843866120085,-1.0,-1.0,9.4,1.0,1.0460639288082432,1.0
49,14.746722433808543,14.746722433808543,14.51830606991996,1.1832823318304464,0.8422243292862772,1.3002765297944339,2.1608565074472383,0.4638789320558478,0.5347487952413892,4.09613836501759,3.615818487760995,0.0,0.0,0.0,1.0,2.8917580349653504,3.2679524896755843,0.7155057475734949,5.265467147608698,-1.0,-1.0,9.4,1.0,1.0460639288082432,1.0
50,14.739484035499945,14.739484035499945,14.512741292350439,1.187821139471176,0.8394213215490309,1.3078609706571034,2.1810252824691636,0.46702624582300295,0.5311764441609539,4.073801284792237,3.6215854950160677,0.0,0.0,0.0,1.0,2.876741252861463,3.182538824618285,0.6980453595786115,5.413372481435266,-1.0,-1.0,9.4,1.0,1.0460639288082432,1.0
51,14.732154120071547,14.732154120071547,14.507096128092323,1.192144639432653,0.8366526704466473,1.3152598224878693,2.200810415078664,0.47029798224928476,0.5277493649406918,4.051267342506969,3.6271634964940827,0.0,0.0,0.0,1.0,2.8617091340589815,3.097588821897729,0.6809174234720016,5.5619057362772795,-1.0,-1.0,9.4,1.0,1.0460639288082432,1.0
52,14.72473424030935,14.72473424030935,14.501371546189342,1.1962414069176381,0.8339139898404798,1.322469726833657,2.22018491026473,0.47366015964439856,0.5244640812103457,4.0285413186844625,3.632551764949733,0.0,0.0,0.0,1.0,2.8467098007910834,3.013116819913821,0.6641226604735575,5.711027838010468,-1.0,-1.0,9.4,1.0,1.0460639288082432,1.0
53,14.717225949784432,14.717225949784432,14.49556850421981,1.2000985002284914,0.831200217682591,1.3294857696960467,2.2391126495453233,0.47707685497764923,0.5213170373010035,4.005628368363961,3.637749907977116,0.0,0.0,0.0,1.0,2.8317998632795347,2.9291665843746357,0.647661856219975,5.860708483584493,-1.0,-1.0,9.4,1.0,1.0460639288082432,1.0
54,14.709630804512253,14.709630804512253,14.489687948344516,1.2037017642424648,0.8285056883979106,1.3363017762635176,2.257549064206841,0.4805106000980805,0.5183046200881438,3.982534105798195,3.6427578472433035,0.0,0.0,0.0,1.0,2.8170396696826496,2.8458468050990726,0.6589464017612857,6.010915933566842,-1.0,-1.0,9.5,1.0,1.1924387212117875,1.0
55,14.70195036416656,14.70195036416656,14.483730813342358,1.2070361753860137,0.8258242161257858,1.342910604790395,2.275441927450695,0.48392284168491373,0.5154231777512898,3.9592646813395223,3.647575798405178,0.0,0.0,0.0,1.0,2.802493570529426,2.7633313180244903,0.6698219717905577,6.161616835964374,-1.0,-1.0,9.6,1.0,1.2040726794358365,1.0
56,14.69418619204204,14.69418619204204,14.477698022637774,1.2100867485599351,0.8231493108044236,1.3493050477150268,2.292732256557934,0.4872742361967735,0.5126690369904727,3.9358268494113333,3.6522042517690183,0.0,0.0,0.0,1.0,2.7882269966703537,2.681972583312338,0.6536536865995223,6.312776153939869,-1.0,-1.0,9.6,1.0,1.2040726794358365,1.0
57,14.686339852040513,14.686339852040513,14.471590488324953,1.2128428463545085,0.820475070821297,1.3554822662461743,2.3093553334662107,0.49052301024115874,0.5100385187276423,3.912228026357375,3.6566439536735,0.0,0.0,0.0,1.0,2.774303083189895,2.602036602194241,0.664439601268911,6.464357548315865,-1.0,-1.0,9.7,1.0,1.3014819727059637,1.0
58,14.67841290789337,14.67841290789337,14.465409111191063,1.2152944251306383,0.8177954381526709,1.3614395885792892,2.3252419791395686,0.49362745480430203,0.5075279523432674,3.8997324845784105,3.660895888640158,0.0,0.0,0.0,1.0,2.7607815893937553,2.523951879833363,0.6753089813503229,6.61632335640474,-1.0,-1.0,9.8,1.0,1.4282032904376774,1.0
59,14.670406922646416,14.670406922646416,14.459154780741015,1.2174311627613048,0.8151040539677351,1.3671733818634304,2.3403198072327633,0.4965473795885319,0.5051336890504639,3.8874937378278065,3.664961261715277,0.0,0.0,0.0,1.0,2.747717974132208,2.448320024409723,0.6599707203362195,6.768634489002636,-1.0,-1.0,9.8,1.0,1.4282032904376774,1.0
60,14.662323457639099,14.662323457639099,14.452828375225481,1.2192426714974973,0.812394344487544,1.372679144575282,2.3545144740795685,0.4992449230498274,0.5028521181769362,3.8751876114405133,3.6688414914473206,0.0,0.0,0.0,1.0,2.7351629069335295,2.375722202106893,0.6706371196931801,6.921667270598414,-1.0,-1.0,9.9,1.0,1.4420803163523301,1.0
61,14.654164069555355,14.654164069555355,14.44643076167157,1.2207200526411621,0.8096599037231054,1.3779526529047172,2.367750933163999,0.5016857546980407,0.5006796774658154,3.8628135832363313,3.672538206544921,0.0,0.0,0.0,1.0,2.7231632450003933,2.3068046768547483,0.6553736661867552,7.075253777055861,-1.0,-1.0,9.9,1.0,1.4420803163523301,1.0
62,14.645930305374455,14.645930305374455,14.439962795971411,1.2218581610370416,0.8068950208832061,1.3829915907992338,2.3799550076862888,0.5038402629525786,0.49861286087879586,3.850371172914129,3.676053230041785,0.0,0.0,0.0,1.0,2.7117314467080926,2.242159573773494,0.6404415540468635,7.22908458482935,-1.0,-1.0,9.9,1.0,1.4420803163523301,1.0
63,14.63762370181845,14.63762370181845,14.433425323106281,1.222652070065043,0.8040939353627803,1.3877931047176466,2.391055391892333,0.5056815018710753,0.4966482253912446,3.8378599438794523,3.679388564370197,0.0,0.0,0.0,1.0,2.7008053313582985,2.1825317073802752,0.6518252784716904,7.383115978002488,-1.0,-1.0,10.0,1.0,1.4851137041079845,1.0
64,14.62924578454927,14.62924578454927,14.42681917734759,1.2230972640784832,0.8012509129298345,1.3923541775299144,2.40098461941637,0.5071850069638568,0.4947823968500939,3.8252795046783956,3.682546377303564,0.0,0.0,0.0,1.0,2.6903385664607025,2.128698300416192,0.636927703055266,7.537303318426834,-1.0,-1.0,10.0,1.0,1.4851137041079845,1.0
65,14.620798062531222,14.620798062531222,14.420145182431133,1.2231943066489412,0.7983612185039932,1.396676081021556,2.4096799729416296,0.5083270263416756,0.4930120749649249,3.8126295101122367,3.6855289887351814,0.0,0.0,0.0,1.0,2.680300999863325,2.0816576245656564,0.6479183267738303,7.691601555538898,-1.0,-1.0,10.1,1.0,1.4893381467805575,1.0
66,14.612282029315882,14.612282029315882,14.413404154484105,1.2229451766337576,0.7954207426585004,1.4007616222195671,2.417091307808157,0.5090855722382055,0.491334037529248,3.7999096875698806,3.688338858242224,0.0,0.0,0.0,2.0,2.670674628103583,2.0418816333610397,0.6583674845427874,7.845965329683513,-1.0,-1.0,10.2,1.0,1.619068488182967,1.0
67,14.603699152204001,14.603699152204001,14.406596899495293,1.222356513524083,0.7924271618244154,1.4046180376362885,2.4232359346719248,0.5094480377507088,0.48974514190433804,3.7871198070704644,3.690978573359793,0.0,0.0,0.0,2.0,2.6614489915166692,2.0095139345559616,0.668817126209081,8.000349668915671,-1.0,-1.0,10.3,1.0,1.6270737477911241,1.0
68,14.595050870646139,14.595050870646139,14.399724213257189,1.2214357043084392,0.789378607227136,1.4082536058724129,2.4281419050073496,0.5094037636976604,0.4882423251350812,3.7742596714477457,3.693450838526134,0.0,0.0,0.0,2.0,2.652620794789877,1.9844795483534106,0.6786261150286202,8.154710103222326,-1.0,-1.0,10.4,1.0,1.6364834361660228,1.0
