step,mean_goal_distance,center_of_mass_goal_distance,velocity_consensus_error,min_agent_distance,min_obstacle_clearance,collision_count,total_collision_steps,total_collision_count,lattice_deviation_energy,mean_neighbor_count,connected_components,lambda_2
20,15.271482604980676,15.046049550360488,1.00276319615508,0.667366849532803,4.861194809979671,0.0,0.0,0.0,0.9988643984418755,8.8,1.0,1.5115514621531883
21,15.267581294268396,15.043276247234779,1.023374330118429,0.661003134096498,4.86748565967189,0.0,0.0,0.0,0.9811325214914913,8.8,1.0,1.5115514621531883
22,15.263528871810681,15.04038873563359,1.0426844380380837,0.6546100281102119,4.873857128484203,0.0,0.0,0.0,0.9887795092244194,8.9,1.0,1.5133047007759934
23,15.259327673666295,15.037388375198937,1.060790930742305,0.6482000579963739,4.880292014604417,0.0,0.0,0.0,0.970170263979494,8.9,1.0,1.5133047007759934
24,15.254980002603466,15.034276508925329,1.0777890414489553,0.641784963466182,4.886773463658503,0.0,0.0,0.0,0.9766948066325145,9.0,1.0,1.5313742737586624
25,15.250488130369448,15.03105446336845,1.0937702339589848,0.6353757114150371,4.893284983924969,0.0,0.0,0.0,0.9822295901372866,9.1,1.0,1.5798215270571991
26,15.245854298414804,15.027723548851165,1.108823832011941,0.628982508301086,4.899810464155943,0.0,0.0,0.0,0.9627394796725688,9.1,1.0,1.5798215270571991
27,15.241080717177905,15.024285059666886,1.1230354597323071,0.6226148107793417,4.906334192925589,0.0,0.0,0.0,0.9433324437049679,9.1,1.0,1.5798215270571991
28,15.23616956828053,15.020740274280374,1.1364841441916336,0.616281336063241,4.912840873778339,0.0,0.0,0.0,0.9491546608856416,9.2,1.0,1.5854222314497863
29,15.231123006927442,15.017090455525972,1.1492423743032942,0.6099900741326659,4.919315638215999,0.0,0.0,0.0,0.9292812104564294,9.2,1.0,1.5854222314497863
30,15.22594316308722,15.013336850803348,1.1613800068142948,0.6037483021235703,4.925744422222009,0.0,0.0,0.0,0.9341654999925177,9.3,1.0,1.647911304562861
31,15.22063214170483,15.009480692270818,1.1729639609537856,0.597562601020596,4.932114197506388,0.0,0.0,0.0,0.9142516838047028,9.3,1.0,1.647911304562861
32,15.215192022506617,15.005523197036222,1.1840560817146042,0.5914388745434855,4.938412860025376,0.0,0.0,0.0,0.9188820912807363,9.4,1.0,1.7029919819849404
33,15.209624860479106,15.001465567345441,1.1947138114232705,0.5853823701419003,4.944629174160702,0.0,0.0,0.0,0.8988684755113997,9.4,1.0,1.7029919819849404
