step,velocity_consensus_error,min_agent_distance,lattice_deviation_energy,mean_neighbor_count,connected_components,lambda_2
81,1.4575567657804984,0.5640816448844784,0.6275794334107987,13.75,1.0,9.731071263427294
82,1.43891494524722,0.5578689689657576,0.6010238067208343,13.75,1.0,9.731071263427294
83,1.419933442074242,0.5516971100402119,0.5989221148504033,13.875,1.0,9.821539741519805
84,1.4006395521721933,0.5455676772618946,0.5969504859746743,14.0,1.0,9.894337686183402
85,1.3810641990530783,0.5394828139506733,0.595486537697662,14.125,1.0,10.676595723913515
86,1.3609287607485425,0.5334451104952811,0.6164755388944776,14.375,1.0,12.000000000000004
87,1.3400345318539513,0.5274575576534943,0.6137082083489989,14.5,1.0,13.000000000000005
88,1.3184601865589782,0.5215235601559045,0.6111882310321335,14.625,1.0,13.000000000000007
89,1.29629681285666,0.5156467580026997,0.5868648111895934,14.625,1.0,13.000000000000007
90,1.273641048695568,0.509830676055236,0.563645098331599,14.625,1.0,13.000000000000007
91,1.250583798538989,0.5040786723426047,0.5640180654760716,14.75,1.0,13.999999999999996
92,1.2272089445591452,0.49839393536232574,0.542149943022481,14.75,1.0,13.999999999999996
93,1.2036010533907961,0.49277947902046415,0.5432432094380573,14.875,1.0,14.0
94,1.1798433740984446,0.4872381307970295,0.5226912695387315,14.875,1.0,14.0
95,1.1560141561702795,0.48177252282237365,0.5031359558158277,14.875,1.0,14.0
96,1.1321804591244977,0.4763850877661273,0.48454333409123224,14.875,1.0,14.0
97,1.10839882208461,0.4710780580849315,0.46687902274168175,14.875,1.0,14.0
98,1.0847163131890616,0.46585346765644814,0.47304099343416955,15.0,1.0,15.999999999999975
99,1.0611722452972079,0.46071315491608344,0.4563767107832647,15.0,1.0,15.999999999999975
100,1.0378071019886344,0.45565876647119735,0.44056002295610147,15.0,1.0,15.999999999999975
101,1.014655703320157,0.4506917573218228,0.42555678467735486,15.0,1.0,15.999999999999975
102,0.9917450945570544,0.44581339009037546,0.4113334575826283,15.0,1.0,15.999999999999975
103,0.9690956805304081,0.44102472591278724,0.3978572739217658,15.0,1.0,15.999999999999975
104,0.9467225899100851,0.4363266350250266,0.3850963489445391,15.0,1.0,15.999999999999975
105,0.9246366939687949,0.4317198093472539,0.3730197544857926,15.0,1.0,15.999999999999975
106,0.9028455128283732,0.4272047739952448,0.3615975618951957,15.0,1.0,15.999999999999975
107,0.8813538195330589,0.4227818976255108,0.3508008625032922,15.0,1.0,15.999999999999975
108,0.8601640911075715,0.41845140167225453,0.34060177194892877,15.0,1.0,15.999999999999975
109,0.8392776774573849,0.41421336857124486,0.3309734152188611,15.0,1.0,15.999999999999975
110,0.818695246706507,0.4100677490068801,0.3218899025224938,15.0,1.0,15.999999999999975
111,0.7984171082765665,0.40601437579533867,0.3133263001777473,15.0,1.0,15.999999999999975
112,0.7784434650633185,0.4020529777241294,0.3052585986461435,15.0,1.0,15.999999999999975
113,0.7587746565085869,0.3981831796841702,0.297663678894642,15.0,1.0,15.999999999999975
114,0.7394112372054754,0.3944045038229823,0.290519279435336,15.0,1.0,15.999999999999975
115,0.7203539946483026,0.39071637162725775,0.2838039649521186,15.0,1.0,15.999999999999975
116,0.7016037990531434,0.3871181067842979,0.277497097683454,15.0,1.0,15.999999999999975
117,0.6831615991478937,0.3836089387171647,0.2715788106288605,15.0,1.0,15.999999999999975
118,0.6650286364614134,0.3801880066553915,0.2660299814285369,15.0,1.0,15.999999999999975
119,0.6472063438817153,0.37685436415251056,0.2608322089670575,15.0,1.0,15.999999999999975
120,0.629696212870182,0.3736069840340282,0.25596779264157976,15.0,1.0,15.999999999999975
121,0.6124997689000585,0.37044476652286396,0.2514197121823854,15.0,1.0,15.999999999999975
122,0.5956185094701553,0.3673665450825298,0.2471716091367283,15.0,1.0,15.999999999999975
123,0.5790537150477008,0.3643710904480207,0.24320777109511144,15.0,1.0,15.999999999999975
124,0.5628065727998803,0.36145711530935726,0.23951311476392517,15.0,1.0,15.999999999999975
125,0.5468781300444565,0.3586232793009587,0.2360731697388678,15.0,1.0,15.999999999999975
126,0.5312691853629743,0.3558681905247748,0.23287406377671221,15.0,1.0,15.999999999999975
127,0.5159803516701419,0.3531904104607449,0.2299025074362731,15.0,1.0,15.999999999999975
128,0.5010120688356129,0.3505884611868291,0.2271457787792495,15.0,1.0,15.999999999999975
129,0.4863645836109517,0.34806083202290516,0.22459170847297236,15.0,1.0,15.999999999999975
130,0.4720379426884117,0.34560598636287154,0.22222866516727677,15.0,1.0,15.999999999999975
131,0.4580319473776581,0.34322237530725513,0.22004554151156402,15.0,1.0,15.999999999999975
132,0.444346162956669,0.34090844212931654,0.2180317400470788,15.0,1.0,15.999999999999975
133,0.43098010094541933,0.3386626240558571,0.2161771581452374,15.0,1.0,15.999999999999975
134,0.41793335670428566,0.3364833546619619,0.21447217291276424,15.0,1.0,15.999999999999975
135,0.40520580093605885,0.33436906661150023,0.21290762616648798,15.0,1.0,15.999999999999975
136,0.3927978163041006,0.33231819455506667,0.21147480974102784,15.0,1.0,15.999999999999975
137,0.380710681448597,0.33032917805837414,0.2101654510741969,15.0,1.0,15.999999999999975
138,0.3689473435784092,0.32840046447403437,0.20897169795495207,15.0,1.0,15.999999999999975
139,0.35751314133424067,0.3265305116885044,0.2078861033759009,15.0,1.0,15.999999999999975
140,0.3464159422104765,0.32471779061062966,0.20690161058917234,15.0,1.0,15.999999999999975
141,0.3356641222652108,0.3229607871927582,0.20601153834598449,15.0,1.0,15.999999999999975
142,0.32526126583291526,0.3212580047643982,0.20520956630016265,15.0,1.0,15.999999999999975
143,0.31520115718662356,0.31960796616415443,0.20448972059888676,15.0,1.0,15.999999999999975
144,0.30546941502085584,0.3170873327530206,0.20384635967477138,15.0,1.0,15.999999999999975
145,0.2960501256228036,0.3141453075968508,0.2032741602567123,15.0,1.0,15.999999999999975
146,0.28693064735320295,0.3112513806912273,0.2027681036192032,15.0,1.0,15.999999999999975
147,0.27810286939559437,0.30840527253418326,0.20232346208822827,15.0,1.0,15.999999999999975
148,0.26956288233552017,0.3056066662061087,0.2019357858297567,15.0,1.0,15.999999999999975
149,0.2613105426111537,0.302855209854245,0.20160088994039901,15.0,1.0,15.999999999999975
150,0.253349357682624,0.3001505191451448,0.20131484185414947,15.0,1.0,15.999999999999975
151,0.24568660423905303,0.2974921796784662,0.20107394908712853,15.0,1.0,15.999999999999975
152,0.23833330067015274,0.2948797493554563,0.20087474733464514,15.0,1.0,15.999999999999975
153,0.23130300815572669,0.2923127606955715,0.2007139889326248,15.0,1.0,15.999999999999975
154,0.22460733868790775,0.28979072309496007,0.2005886317065001,15.0,1.0,15.999999999999975
155,0.21824742455338333,0.2873131250212501,0.20049582819987954,15.0,1.0,15.999999999999975
156,0.21220824015363352,0.28487943614019046,0.200432915256056,15.0,1.0,15.999999999999975
157,0.20646379002287985,0.2824891093673943,0.20039740400034364,15.0,1.0,15.999999999999975
158,0.20098696566984192,0.2801415828485253,0.2003869702220788,15.0,1.0,15.999999999999975
159,0.19575459458329264,0.2778362818738008,0.2003994451526207,15.0,1.0,15.999999999999975
160,0.19074795204095918,0.2755726206711836,0.20043280663657267,15.0,1.0,15.999999999999975
161,0.1859525259923842,0.273350004113137,0.2004851706902486,15.0,1.0,15.999999999999975
162,0.18135905056068888,0.27116782933801314,0.2005547834411363,15.0,1.0,15.999999999999975
163,0.17696617709379076,0.2690254872842279,0.2006400134412299,15.0,1.0,15.999999999999975
164,0.17278194148168396,0.266922364136297,0.20073934434619337,15.0,1.0,15.999999999999975
165,0.16881258153034612,0.26485784268258583,0.20085136795149577,15.0,1.0,15.999999999999975
166,0.1650411977173244,0.2628313035853196,0.20097477757604518,15.0,1.0,15.999999999999975
167,0.16143503576197418,0.26084212656397443,0.20110836178297603,15.0,1.0,15.999999999999975
168,0.157967270042092,0.2588896914936724,0.20125099842685218,15.0,1.0,15.999999999999975
169,0.15462111876668805,0.25697337942064463,0.2014016490162623,15.0,1.0,15.999999999999975
170,0.1513860631845253,0.2550925734971813,0.2015593533804176,15.0,1.0,15.999999999999975
171,0.14825488119428115,0.2532466598938728,0.2017232246274188,15.0,1.0,15.999999999999975
172,0.1452221219529682,0.2514350287082342,0.20189244438201123,15.0,1.0,15.999999999999975
173,0.14228336073814726,0.2496570746130998,0.2020662582948762,15.0,1.0,15.999999999999975
174,0.13943481932607055,0.24791219744708978,0.2022439718094484,15.0,1.0,15.999999999999975
175,0.13667316461632567,0.2461998027562573,0.20242494617401038,15.0,1.0,15.999999999999975
176,0.1339954038947399,0.2445193022854936,0.20260859468813083,15.0,1.0,15.999999999999975
177,0.1313988494805287,0.24287011441976694,0.2027943791722254,15.0,1.0,15.999999999999975
178,0.1288811789990531,0.2412516645762795,0.2029818066492644,15.0,1.0,15.999999999999975
179,0.1264407879232191,0.23966338554927796,0.20317042622794426,15.0,1.0,15.999999999999975
180,0.12407882563914815,0.23810471780970896,0.2033598261769491,15.0,1.0,15.999999999999975
181,0.12181934691715018,0.23657510976216417,0.20354963118026304,15.0,1.0,15.999999999999975
182,0.11974216013168773,0.2350740179617269,0.20373949976384023,15.0,1.0,15.999999999999975
183,0.1177722783063277,0.2336009072933699,0.20392912188429727,15.0,1.0,15.999999999999975
184,0.11586607048958425,0.23215525111659266,0.20411821667065896,15.0,1.0,15.999999999999975
185,0.1140173187831745,0.23073653137972433,0.20430653031052065,15.0,1.0,15.999999999999975
186,0.11222408632115535,0.22934423872609794,0.20449383407196964,15.0,1.0,15.999999999999975
187,0.11048556112996036,0.22797787254678592,0.20467992245432648,15.0,1.0,15.999999999999975
188,0.10880161268404827,0.22663694100148796,0.2048646114599305,15.0,1.0,15.999999999999975
189,0.10717267762864315,0.22532096102024457,0.20504773697962417,15.0,1.0,15.999999999999975
190,0.10559952598476309,0.22402945825052054,0.20522915328517052,15.0,1.0,15.999999999999975
191,0.1040826663352821,0.22276196700137943,0.20540873162186812,15.0,1.0,15.999999999999975
192,0.10262143055309478,0.22151803021447924,0.20558635889525392,15.0,1.0,15.999999999999975
193,0.10121332493081062,0.22029719941551978,0.2057619364468715,15.0,1.0,15.999999999999975
194,0.09985430554856409,0.21909903464920058,0.20593537891327415,15.0,1.0,15.999999999999975
195,0.09853976940968295,0.21792310440022197,0.20610661316282622,15.0,1.0,15.999999999999975
196,0.09726544849623443,0.21676898550245086,0.2062755773056182,15.0,1.0,15.999999999999975
197,0.0960277971083732,0.2156362630380471,0.2064422197712846,15.0,1.0,15.999999999999975
198,0.0948239965492632,0.21452453022810342,0.20660649845150209,15.0,1.0,15.999999999999975
199,0.09365181282750366,0.21343338831518133,0.20676837990279626,15.0,1.0,15.999999999999975
200,0.09250944169424546,0.21236244643797034,0.2069278386054935,15.0,1.0,15.999999999999975
201,0.0913953850472552,0.2113113215056604,0.2070848562750167,15.0,1.0,15.999999999999975
202,0.09030836265894909,0.2102796380681161,0.2072394212222509,15.0,1.0,15.999999999999975
203,0.08924725174401607,0.20926702818241702,0.2073915277597885,15.0,1.0,15.999999999999975
204,0.0882110460594637,0.20827313127667665,0.20754117565104332,15.0,1.0,15.999999999999975
205,0.08719882811280617,0.2072975940119168,0.2076883695994096,15.0,1.0,15.999999999999975
206,0.0862097500433574,0.20634007014268374,0.2078331187748132,15.0,1.0,15.999999999999975
207,0.0852430202447462,0.20540022037699363,0.20797543637517016,15.0,1.0,15.999999999999975
208,0.0842978939651097,0.2044777122361105,0.20811533921995465,15.0,1.0,15.999999999999975
209,0.08337366629007889,0.2035722199146138,0.20825284737432395,15.0,1.0,15.999999999999975
210,0.08246966679285014,0.20268342414114252,0.20838798380207962,15.0,1.0,15.999999999999975
211,0.08158525558512071,0.201811012040151,0.208520774045002,15.0,1.0,15.999999999999975
212,0.08071982022548664,0.20095467699497904,0.20865124592677892,15.0,1.0,15.999999999999975
213,0.07987277324045139,0.20011411851248637,0.20877942927986043,15.0,1.0,15.999999999999975
214,0.07904355008968764,0.1992890420894776,0.20890535569367402,15.0,1.0,15.999999999999975
215,0.07823160745849275,0.19847915908110342,0.2090290582827358,15.0,1.0,15.999999999999975
216,0.0774364217952528,0.19768418657138925,0.20915057147328675,15.0,1.0,15.999999999999975
217,0.07665748803583823,0.19690384724604373,0.2092699308071529,15.0,1.0,15.999999999999975
218,0.07589431842896267,0.19613786926763208,0.20938717276148114,15.0,1.0,15.999999999999975
219,0.07514644146538123,0.19538598615322406,0.20950233458323173,15.0,1.0,15.999999999999975
220,0.07441340106210605,0.19464793665456742,0.20961545413782273,15.0,1.0,15.999999999999975
221,0.0736947557319722,0.19392346464085136,0.20972656977070886,15.0,1.0,15.999999999999975
222,0.07299007781885936,0.19321231898408794,0.20983572018095628,15.0,1.0,15.999999999999975
