step,mean_goal_distance,center_of_mass_goal_distance,velocity_consensus_error,min_agent_distance,lattice_deviation_energy,mean_neighbor_count,connected_components,lambda_2
104,14.734599691763682,14.626429122882318,1.3042909286072895,0.39082913006215286,0.5572373910558249,13.0,1.0,3.5996101589510032
105,14.727030348368942,14.620507276295928,1.3056405320918871,0.3902621615672349,0.5818706155758929,13.2,1.0,3.928112670951029
106,14.719442037183494,14.614557437066987,1.3068171774928443,0.3896607843148584,0.5659551003352548,13.2,1.0,3.928112670951029
107,14.711835554937219,14.608579930780358,1.3077792649196303,0.3890237847461597,0.5706001500476887,13.3,1.0,4.054913571453271
108,14.704211707798132,14.602575079166314,1.3084923169064446,0.3883504092509742,0.5747758774355681,13.4,1.0,4.426071755100098
109,14.696571310118276,14.596543200150037,1.3089263243372724,0.3876398698577016,0.5782852146851714,13.5,1.0,4.5578977750413845
110,14.688915178299698,14.590484607900624,1.3090562128713876,0.3868910037097753,0.6006171072285373,13.7,1.0,4.863815687556553
111,14.681244124735084,14.584399612879546,1.308862088485812,0.3861023663007863,0.6396794408820978,14.0,1.0,5.16720283715129
112,14.673558947510013,14.578288521888549,1.3083330958071175,0.38527234629997553,0.621521997646517,14.0,1.0,5.16720283715129
113,14.665860414806602,14.572151638116903,1.3074752292644494,0.3843995062600013,0.6037767001305805,14.0,1.0,5.16720283715129
114,14.658149270472524,14.565989261187939,1.3062896049488868,0.38348264440158664,0.5864451398830143,14.0,1.0,5.16720283715129
115,14.650426242266898,14.55980168720488,1.304769606192544,0.3825207952594135,0.5695285882925883,14.0,1.0,5.16720283715129
116,14.642692049130352,14.553589208796057,1.3029018395296241,0.38151323659868347,0.5715124438072234,14.1,1.0,5.217775969971605
117,14.63494740438324,14.547352115159542,1.3006702412552598,0.3804595007713791,0.5733025759361087,14.2,1.0,5.34667522736968
118,14.627193014378951,14.54109069210727,1.2980606951316767,0.3786766862747901,0.5744994315118498,14.3,1.0,5.438122557360225
119,14.619429573934593,14.534805222108572,1.2950646329782365,0.3761345644150704,0.5759666155148536,14.4,1.0,5.518853452343665
120,14.611657767505502,14.52849598433318,1.2916729089154328,0.37365714430895597,0.5765701474600168,14.5,1.0,5.590658274590751
121,14.603878267581672,14.52216325469366,1.2878794868796593,0.3712447147662231,0.5944599610720807,14.7,1.0,5.908558330490077
122,14.596091726533786,14.5158073058873,1.2836865504354633,0.36889759143051826,0.576480412341932,14.7,1.0,5.908558330490077
123,14.588298774737126,14.509428407437376,1.2790970107658273,0.366615999338761,0.5767343834483379,14.8,1.0,5.985103102654611
